id,name,aliases,type,required_markup,markup_phrase,legal_basis,done
02b24bdb-8959-414b-a851-b175f930d92c,Жирнов Сергей Олегович,"[""Жирнов С. О."",""Жирнов Сергей"",""Жирнов Сергей О."",""Жирнов Сергей Олегович"",""Жирнов Серегей Олегович"",""Сергей Жирнов"",""С. О. Жирнов"",""Серегей Ж."",""Жирнов Сергей Олег"",""Серёга Жирнов"",""Серёжа Жирнов"",""Сергей Ж."",""С. Жирнов"",""Серёга Ж."",""Сергей О."",""С. О."",""Жирнов Серёга"",""Жирнов Серёжа"",""С. О. Ж."",""Сергей Жирнов Олегович"",""Жирнов Серега"",""Серега Жирнов"",""Серёга Олегович"",""Сергей О. Жирнов""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
030daf4a-286b-45b1-8f58-ab7c5a83fe26,Региональный общественный фонд содействия национальному самоопределению народов Мира Независимость,"[""Фонд Независимость"",""Фонд Содействия"",""РОФ СНСНМ"",""РОФ Независимость"",""Независимость"",""Фонд Мира"",""СНСНМ"",""РФ СНСНМ"",""РосНезависимость"",""Регфонд Независимость"",""Фонд народов Мира""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
0370ca41-b5cd-416f-898c-23c4be385017,"Объединение, членами которого являются: Коломойский Игорь Валерьевич, родившийся 13.02.1963 в г. Днепропетровске Днепропетровской области Украины, Шитов Павел Николаевич, родившийся 08.02.1972 в г. Сафонов Смоленской области, компания Джей Кей Икс Ойл Энд Гэс Лимитед","[""КВШ Коломойский"",""ПНШ Шитов"",""ДжейКейИкс ОилГэс"",""Объединение Лидеров"",""Коломойский и Ко"",""Коломойский и Шитов"",""Игорь Коломойский и Павел Шитов"",""Коломойский-Шитов"",""Лидеры"",""ДжейКейИкс"",""JKX"",""JKX Oil & Gas"",""ОйлГэс"",""ГэсЛимитед"",""Компания ДжейКейИкс"",""Компания JKX"",""JKX Limited"",""КВШ и ПНШ"",""ИВК и ПНШ"",""Игорь В. и Павел Н.""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
0385a8f9-768c-4999-82cc-203b19ee2478,Террористическое сообщество Мегионский джамаат,"[""Мегионский джамаат"",""Террористическое сообщество"",""МД"",""ТС"",""МегДж"",""ТСМД"",""Мегионский джемаат"",""Мегион-джамаат"",""Мегионская группировка"",""Мегджамаат"",""Джамаат Мегиона"",""ТС Мегион"",""Мегионские"",""МегДж-группа"",""Мегионцы"",""МДЖ"",""Террористы Мегиона""]",террористы,true,Признана террористической организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
03a917f9-f9c7-418b-ac8c-61d0d5cbab94,Хатлонский джамаат,"[""Хатлонский джамаат"",""Хатлон Джамаат"",""ХД"",""ХДж"",""ХатДж"",""ХДжам"",""ХатДжам"",""ХДжамаат"",""ХатДжамаат"",""Хатлонский Дж"",""Хатлондж"",""Хат Джам"",""Хат Дж"",""ХДжм"",""Хатлонджей"",""Хатлонисты"",""ХДжамка"",""Хатлонские"",""Джамаатцы""]",террористы,true,Признана террористической организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
03c3979a-af70-4466-ad8d-2f6001d89b82,Обухов Герман Викторович,"[""Обухов Г. В."",""Герман Обухов"",""О. Г. Викторович"",""ОГВ"",""Герман Викторович"",""Гера Обухов"",""Герман О."",""Обухов Герман"",""Обухов Гера"",""Герман В."",""Г. Обухов"",""Герм Обухов"",""Обухов Викторович""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
04242c59-4cc5-4118-ba57-b3ef879a7c15,Общество с ограниченной ответственностью ТЕНЕС,"[""ООО ТЕНЕС"",""ТЕНЕС"",""ТЕНЕС ООО"",""ТЕНЕС LLC"",""ТЕНЕС Ltd."",""ТЕНЕС Co."",""ТЕНЕС Corp."",""ТЕНЕС Inc."",""ТЕНЕС Limited Liability Company"",""Тенеска"",""Тенесик"",""ТЕНЕСушка"",""ТЕНЕСок"",""ТЕНЕСище"",""ТЕНЕСюня"",""ТЕНЕСчик"",""Тенесище"",""Тенесово"",""ТЕНЕС-компания"",""ТЕНЕС-фирма"",""ТЕНЕС-контора"",""ТЕНЕС-лаба"",""ТЕНЕС-групп"",""ТЕНЕС-холдинг""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
04645a97-f34b-45c4-81d5-c3ae75d29124,Межрегиональное общественное объединение Русская республика Русь,"[""МОО Русская Республика Русь"",""Общественное объединение Русская Республика Русь"",""МОО Русь"",""Общество Русская Республика Русь"",""Русская Республика Русь"",""Межрегиональное общество Русская Республика Русь"",""РРР"",""МОО РРР"",""Объединение Русь"",""РусРеспРусь"",""МООРР"",""Русская Республичка"",""Русь-Республика"",""Общество Руси"",""Русь-МОО"",""Республика Русь"",""РР"",""Русь-РР""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
047c4557-676b-4c75-b756-5d903e30a3c3,Кураев Андрей Вячеславович,"[""Андрей Кураев"",""А. В. Кураев"",""Кураев А. В."",""Кураев Андрей"",""Андрей Вячеславович"",""Кураев А. Вячеславович"",""Кураев Андрей В."",""Андрюша Кураев"",""Андрей Вячеславович Кураев"",""Андрюха Кураев"",""Кураев Андрюша"",""А. Кураев"",""Кураев Андрей Вячеславович"",""Андрей Кураев Вячеславович"",""А. Вячеславович Кураев"",""Кураев А.В."",""Андрей В. Кураев""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
04919cbc-f3e1-4152-be4a-dee40d35ad0b,"Deutsche Gesellschaft für Osteuropakunde (Германское общество изучения Восточной Европы), https://www.google.com/search?q=%D0%A4%D0%A0%D0%93","[""DGfO"",""German Society for East European Studies"",""Deutsche Osteuropa-Gesellschaft"",""DOE"",""DGOE"",""DGfO e.V."",""DGO"",""Deutsche Osteuropa"",""Gesellschaft für Osteuropa"",""Osteuropa-Gesellschaft"",""Deutsche Ostgesellschaft"",""DOG""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
04bf4d39-ac09-4ec4-b34f-28cb9519519e,Автономная некоммерческая организация информационных и правовых услуг Гражданская инициатива против экологической преступности,"[""АНО ИПУ ГИПЭП"",""АИГЭП"",""АИПЭП"",""ГИПЭП"",""Гражданская инициатива"",""Инициатива"",""ГИПЭПчик"",""АНОшка"",""Правозащитники"",""Экопреступники"",""Экологи"",""ГИПЭПовцы"",""АНО Гражданка"",""Гражданка"",""ЭкоИнициатива""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
04c89c7d-7703-4451-8a13-53a6bd942488,"The Andrei Sakharov foundation (Фонд Андрея Сахарова), США","[""ASF-USA"",""Sakharov Foundation USA"",""Американский Фонд имени Андрея Сахарова"",""АФАС"",""Фонд Сахарова в США"",""Фонд Сахарова"",""Сакхаров-фонд США"",""ASF"",""ФАС"",""Андрея Сахарова фонд"",""Сакхаров США"",""Фонд ASF"",""Фонд Андрея""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
04e34a20-fa04-4db6-80f4-ab6b962caf8c,Федоровых Арина Эдуардовна,"[""Арина Федорова"",""Арина Федоровых"",""Арина Эдуардовна"",""Федорова Арина"",""Федоровых Арина"",""Федоровых А. Э."",""Ф. А. Э."",""А. Ф. Э."",""Ариша Федорова"",""Аришка Федоровых"",""Ариночка Эдуардовна"",""Рина Федорова"",""Ариша Федоровых"",""Федоровых Ариша"",""Федоровых Аришка"",""Федорова Рина"",""Ф. Арина"",""Арина Ф."",""А. Федорова"",""Арина Э."",""А.Э. Федоровых"",""Федорова А.Э."",""Федоровых А.Э."",""Арина Федоровна"",""Арина Федорина"",""Федорина Арина""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
053c0957-2edd-402b-86d2-45d115709f7c,"European Endowment for Democracy (Европейский фонд за демократию, Европейский фонд в поддержку демократии) (Королевство Бельгия)","[""EED"",""ЕДФД"",""Фонд за демократию""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
054963ca-23ec-4d33-9de2-ceba51a3d1e7,Некоммерческая организация Фонд Костромской центр поддержки общественных инициатив,"[""Фонд Костромской Центр Поддержки Общественных Инициатив"",""Фонд Костромской Центр Поддержки Инициатив"",""Фонд КЦПОИ"",""Фонд КЦПО"",""Фонд Костромской Центр"",""Фонд КЦ"",""НКО Фонд КЦПОИ"",""НКО Фонд КЦПО"",""НКО Фонд Костромской Центр"",""НКО Фонд КЦ"",""НКО КЦПОИ"",""НКО КЦПО"",""НКО КЦ"",""ФКЦПОИ"",""ФКЦПО"",""ФКЦ"",""Костромской Центр"",""КЦПОИ"",""КЦПО"",""Кострома Центр"",""Фонд Кострома"",""Центр Инициатив"",""Центр Кострома"",""Центр Поддержки"",""НКО Кострома"",""НКО Поддержка"",""Фонд Поддержки"",""Костромской Фонд"",""Поддержка Инициатив"",""Центр Инициатив Кострома"",""Фонд Инициатив"",""ФКЦПО Кострома"",""КЦ Кострома"",""Поддержка Кострома"",""Центр Фонд""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
05893d1e-5e1a-41d0-a963-00162cbf4513,Межрегиональное общественное движение Сибирский державный союз,"[""Сибирский державный союз"",""СДС"",""Сибирский Союз"",""Сибирский державный"",""Державный союз"",""СибДержСоюз"",""ДС"",""СибСоюз"",""Державники"",""Сибирцы"",""Держава"",""СибирьСоюз"",""СДС-движение""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
05954955-fbda-4304-a019-b9b94f4e11ab,Общество с ограниченной ответственностью МЕМО,"[""ООО МЕМО"",""Общество МЕМО"",""МЕМО ООО"",""МЕМО Ltd."",""МЕМО LLC"",""МЕМО Company"",""МЕМО Corporation"",""ООО МЕМОшка"",""МЕМОшка"",""МЕМОшенька"",""МеМО"",""МЕМОшник"",""МЕМка"",""МЕМОшка Inc."",""МемООО"",""мемоська"",""МЕМО компания""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
05ca5c03-9a58-487f-ba0a-eaaa443388f3,Местная религиозная организация Свидетели Иеговы Таганрог,"[""Местная религиозная организация СИ Таганрог"",""Свидетели Иеговы Таганрог"",""МРО Свидетели Иеговы Таганрог"",""МРО СИ Таганрог"",""СИ Таганрог"",""Местная религиозная организация Таганрог"",""МРО Таганрог"",""СИ Таг"",""Иеговисты Таганрог"",""Свидетели Таганрога"",""СИшки Таганрог"",""МРО Иеговисты Таганрог"",""Таганрогские СИ"",""Таганрогские свидетели"",""Местные СИ"",""МРО Свидетели Таганрог"",""Те же из Таганрога"",""СИшники Таганрог"",""Религиозная группа СИ Таганрог""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
05cbf8bd-b0b4-4a91-89b0-3706081a2f50,НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ НАУЧНЫЙ ФОНД ТЕОРЕТИЧЕСКИХ И ПРИКЛАДНЫХ ИССЛЕДОВАНИЙ ЛИБЕРАЛЬНАЯ МИССИЯ,"[""НО НФ ТИПИ ЛМ"",""НО Научный Фонд ТИ Либеральная Миссия"",""НФ ТИПИ Либеральная Миссия"",""НФ ТИПИ ЛМ"",""НФ ТИ Прикладные Исследования Либеральная Миссия"",""НО Научный Фонд Теоретических и Прикладных Исследований Либеральная Миссия"",""Либералка"",""ЛибМиссия"",""НОНФ"",""Фонд ЛибМис"",""НаучФонд ЛибМис"",""ТИПИ ЛМ"",""ЛибМис"",""НО Фонд ТИПИ"",""Фонд ТИПИ"",""НО ЛибМис"",""НаучФонд ТИПИ"",""Фонд ТеорПриклад"",""НО ТИПИ"",""ЛибМис Фонд""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
05ceb817-8ac7-48ac-a272-52eec3afb4a4,Комитет ингушской независимости,"[""КИН"",""Комитет ИН"",""Ингушский комитет независимости"",""Ингушский Комитет"",""Комитет за независимость Ингушетии"",""КИНчики"",""Комитетчики"",""Ингушский комитет"",""Независимцы"",""Комитет свободы Ингушетии"",""Освободители Ингушетии"",""КИНовцы"",""Комитетыч"",""Комик ингушей"",""Борцы за Ингушетию"",""Инги"",""Комитет за свободу"",""Ингком"",""Освободительный комитет"",""Комитет Ингушетии""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
05f9d9f2-9709-4e32-b656-445b77af90fb,Курбангалеева Фарида Рашидовна,"[""Фарида Курбангалеева"",""Курбангалеева Ф. Р."",""Курбангалеева Фарида"",""Фарида Рашидовна"",""Фарида Р."",""Ф. Курбангалеева"",""Фарида К."",""Фаридка"",""Фаря"",""Фарик"",""Фаридушка"",""Фаридон"",""Курбангалеева Ф."",""Фарида Рашид."",""Ф. Рашидовна"",""Фарида Рашидовна Курбангалеева""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
0601019d-8748-48ac-9cfc-a3b2c5f779c0,Межрегиональный профессиональный союз работников здравоохранения Альянс врачей,"[""Межрегиональный профсоюз здравоохранения Альянс врачей"",""Союз работников здравоохранения Альянс врачей"",""МПСРЗ Альянс врачей"",""Межрегиональный союз здравоохранения Альянс врачей"",""МПСРЗ Альянс"",""Межрегиональный профсоюз Альянс врачей"",""Профсоюз Альянс врачей"",""Альянс врачей (МПСРЗ)"",""Альянс врачей (профсоюз)"",""Альянс медиков"",""Профсоюз врачей Альянс"",""Союз Альянс"",""Альянс (профсоюз)"",""МПСРЗ"",""Айболит-профсоюз"",""Докторский Альянс"",""Медпрофсоюз Альянс"",""Профсоюз медработников Альянс"",""Межрегиональный Альянс врачей""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
06034330-7b36-4cfb-b94a-972303a03f39,"Justice for Journalists Foundation (Фонд Справедливость для журналистов), Великобритания","[""Journalist Justice Foundation"",""JJF"",""J4J Foundation"",""Justice4Journo"",""JFJF UK"",""Журналистская Справедливость"",""Джастис для Журналов"",""Фонд J4J"",""Журик-Джастис"",""Справедливость для Журнёров"",""Джастис Журналистам"",""ЖурноСправ"",""Фонд JFJ"",""Джастис-Фонд"",""Журналистский Джастис""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
06167651-3b4b-40c9-a264-935adfb93b46,Кедр.медиа,"[""Кедр.медиа"",""КедрМедиа"",""КедрМ"",""КедрМед"",""К.медиа"",""КМед"",""КМ"",""Кедрик"",""Кедруха"",""Кеда"",""Кедец"",""Кедор"",""К.м."",""КедроМедиа"",""КедроМед"",""КМедиа"",""Кедрище"",""КМД"",""Кедыч""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
062c4ce5-6357-4861-8cc3-c4bdfb00b3c7,Автономная некоммерческая организация информационных и правовых услуг Ресурсный правозащитный центр,"[""Ресурсный правозащитный центр"",""РПЦ"",""НПО РПЦ"",""Информационно-правовой центр"",""ИПЦ"",""Ресурсный центр"",""РЦ"",""Правозащитный центр"",""ПЦ"",""Ресурсный центр правозащитников"",""Ресурсный правозащитник"",""Правозащитный ресурс"",""Правозащита РЦ"",""Ресурсник"",""Правцентр"",""РПЦ-центр"",""ИПУ РПЦ"",""НКО РПЦ"",""Правовой ресурс"",""Центр защиты прав"",""Организация РПЦ"",""Ресцентр"",""Правоцентр РПЦ"",""Правозащитный РЦ""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
06e1d06a-8ea1-4e0b-93fa-12e7aa8e6cbd,"Центр iнформацiï про права людини (Центр информации о правах человека), другое используемое наименование: Центр прав людини ZMINA (Центр прав человека ЗМИНА) (Украина)","[""Центр iнформацiï про права людини"",""Центр прав людини ZMINA"",""Центр інформації про права людини"",""Центр прав человека ЗМИНА"",""ЦПЛ ЗМИНА"",""Центр ЗМИНА"",""ЦПЛ Зміна"",""Центр прав человека""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
077b105b-e6fe-44fa-9903-02179225ed87,Ивлева-Йорк Виктория Марковна,"[""Ивлева-Йорк В. М."",""Виктория Ивлева-Йорк"",""Ивлева-Йорк Виктория"",""И. Й. В. М."",""В. М. Ивлева-Йорк"",""Виктория Марковна"",""Вика Ивлева-Йорк"",""В. Ивлева-Йорк"",""Ивлева-Йорк В."",""Виктория М."",""В. М. Ивлева"",""Виктория Йорк""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
079fdeee-128f-46c0-95e2-355fc0a12a6c,Ромалийская Ирина Геннадьевна,"[""Ромалийская Ирина Геннадьевна"",""Ромалийская Ирина"",""Ромалийская Геннадьевна"",""Ирина Геннадьевна"",""Р. И. Геннадьевна"",""Р. И. Г."",""Ромалийская И. Г."",""Ромалийская Ирина Г."",""Ромалийская И. Геннадьевна""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
07e123a8-40ea-4290-a199-0d21e11b140e,"Форум гражданского общества Россия – ЕС (EU – Russia Civil Society Forum e.V.), https://www.google.com/search?q=%D0%A4%D0%A0%D0%93","[""Форум Россия – Евросоюз"",""Гражданское общество Россия – ЕС"",""Форум EU – Russia Civil Society"",""Форум ГО России – ЕС"",""EU – Russia CSF"",""Форум ГО России – Союз Европы"",""РоссЕС ГражФорум"",""Форум Россия-ЕС"",""РФ-ЕС ГФ"",""ГражОбщФорум Россия-ЕС"",""Форум РоссиГражЕС"",""EU-Russia ГФ"",""РоссияЕС Форум ГО"",""Евро-Российский ГФ"",""Форум Граж РосЕС"",""ФГЕС"",""CSF Russia-EU""]",нежелательные,false,,ст. 20.33 КоАП РФ,true
080e070b-19f0-42ac-84a3-907b8d8581b3,Медведев Артем Павлович,"[""Артем Павлович Медведев"",""Медведев А. П."",""Артем П. М."",""Медведев Артем"",""Артем Медведев"",""Медведев Арт. П."",""Медведев Артем П."",""Артём Медведев"",""Артём П. Медведев"",""Медведев Артём"",""Артёмка Медведев"",""Тёма Медведев"",""Медведев Тёма"",""Артюха Медведев"",""Медведев Артюха"",""А.П. Медведев"",""Артём Павлович"",""Медведев Артёмка"",""Артём М."",""Тёма М."",""Арт. П. Медведев"",""Медведев Артём Павлович"",""Медведев Тёма Павлович"",""Тёма Павлович Медведев"",""Артём Медведев-Павлович"",""Артём Медведевич""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
0858e907-0a3d-434c-829a-a2c0130914df,Городской благотворительный фонд Фонд Тольятти,"[""Городской благотворительный фонд Тольятти"",""ГБФ Фонд Тольятти"",""Фонд Тольятти"",""ГБФ Тольятти"",""Городской фонд Тольятти"",""Благотворительный фонд Тольятти"",""ГБФ ФТ"",""ГФ Тольятти"",""ФТГ"",""ГБФ"",""Тольяттинский фонд"",""Фондик Тольятти"",""Городской фондик"",""ТФ"",""Тольятти фонд"",""ГБФТ"",""Фонд ТТ"",""ТТ фонд"",""ГФБ Тольятти""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
087a888e-a482-43fc-af29-7284a06a08df,Местная организация города Краснодара – Пит Буль,"[""Местная организация в Краснодаре – Пит Буль"",""Пит Буль Краснодар"",""Организация Пит Буль"",""ПБК"",""М-О Пит Буль"",""Пит-Б"",""МОПБ"",""Пит Буль из Краснодара"",""Пит Краснодар"",""Организация Пит"",""Питбуль"",""Пит Б"",""МО – Пит"",""Краснодарский Пит Буль"",""Пит"",""Буль"",""ПБ"",""МО ПБ"",""Пит и Ко"",""Буль Краснодар"",""МО Пит"",""Пит-Буль""]",экстремисты,true,Признана экстремистской организацией и запрещена на территории РФ,ч. 2 ст. 13.15 КоАП РФ,true
08ddb126-ccca-4ad6-8264-1ae911b217f9,Григорьев Андрей Валерьевич,"[""Григорьев А. В."",""Григорьев Андрей"",""Григорьев Андрей В."",""Григорьев Андрей Валерьевич"",""Андрей Григорьев"",""А. В. Григорьев"",""А. Григорьев"",""Андрюха Григорьев"",""Андрей Григорьевич"",""Григорьев Андрюха"",""Григорич"",""Андрюша Григорьев"",""Дрюха Григорьев"",""А. Г."",""Григорьев Дрюха"",""Андрей Валерьевич Григорьев"",""Григорьев Валерыч"",""АВГ"",""Григорьев А.В."",""Андрей Валерыч"",""Андрей Г.""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
09399ff2-234e-440b-88f5-6edccaf38624,Карпов Евгений Вячеславович,"[""Карпов Е. В."",""Карпов Евгений"",""Евгений Карпов"",""Карпов Евгений В."",""Карпов Евгений Вячеславович"",""Женя Карпов"",""Евгеньевич Карпов"",""Карпов Е.В."",""Карпов Женя"",""Евгеша Карпов"",""Карпов Евгеша"",""Карпов Евг В."",""Евгений Вячеславович Карпов"",""Евгений Карпов Вячеславович"",""К. Е. В.""]",иноагенты,true,внесён в реестр иностранных агентов,ч. 2.1 ст. 13.15 КоАП РФ,true
